municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2093200,cnae_2522500,cnae_2539002,cnae_2721000
ABADIA DE GOIAS,520005,Cádmio,GO,29,9,2,14,4,0,4,0.2,0,0,0,0,0,0,1,0
ABAETE,310020,Cádmio,MG,26,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ABARE,290020,Cádmio,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ABELARDO LUZ,420010,Cádmio,SC,19,0,1,16,2,0,2,0.10526315789473684,0,0,0,0,0,0,0,0
ACEGUA,430003,Cádmio,RS,46,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0
ACREUNA,520013,Cádmio,GO,23,13,4,4,2,0,2,0.2,0,0,0,0,0,0,0,0
ACUCENA,310050,Cádmio,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Cádmio,SP,44,11,5,24,4,0,4,0.12121212121212122,0,0,0,0,0,0,0,0
ADELANDIA,520015,Cádmio,GO,8,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Cádmio,SP,21,7,1,13,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Cádmio,PR,36,0,28,7,1,0,1,0.027777777777777776,0,0,1,0,0,0,0,0
AFONSO CLAUDIO,320010,Cádmio,ES,22,0,0,18,4,0,4,0.18181818181818182,0,0,0,0,0,0,0,0
AGROLANDIA,420020,Cádmio,SC,16,0,2,14,0,0,0,0,0,0,0,0,0,3,4,0
AGUA BOA,310060,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0
AGUA CLARA,500020,Cádmio,MS,32,0,18,12,2,0,2,0.0625,0,0,0,0,1,0,0,0
AGUA COMPRIDA,310070,Cádmio,MG,8,4,0,0,4,0,4,1,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Cádmio,SC,28,4,2,20,2,0,2,0.08333333333333333,0,0,0,0,0,0,0,0
AGUA FRIA,290040,Cádmio,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0
AGUA FRIA DE GOIAS,520017,Cádmio,GO,11,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0
AGUA LIMPA,520020,Cádmio,GO,20,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Cádmio,RS,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAI,350030,Cádmio,SP,16,0,5,10,1,0,1,0.0625,0,0,0,0,0,0,1,0
AGUAS DA PRATA,350040,Cádmio,SP,81,12,27,39,3,0,3,0.043478260869565216,0,0,0,0,0,0,0,0
AGUAS DE SANTA BARBARA,350055,Cádmio,SP,12,0,0,10,2,0,2,0.16666666666666666,0,0,0,0,1,0,0,0
AGUAS DE SAO PEDRO,350060,Cádmio,SP,20,3,5,10,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Cádmio,MG,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
AGUAS FRIAS,420055,Cádmio,SC,27,2,5,20,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Cádmio,GO,5,0,2,2,1,0,1,0.2,0,0,0,0,0,0,2,0
AGUAS VERMELHAS,310100,Cádmio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Cádmio,RS,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDOS,350070,Cádmio,SP,80,12,36,32,0,0,0,0,0,0,0,0,0,0,0,0
AGUDOS DO SUL,410030,Cádmio,PR,31,0,20,5,6,0,6,0.1935483870967742,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Cádmio,ES,21,6,1,10,2,2,4,0.26666666666666666,0.13333333333333333,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Cádmio,TO,18,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Cádmio,BA,12,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Cádmio,RS,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMBARI,350075,Cádmio,SP,91,1,0,74,16,0,16,0.17777777777777778,0,0,0,0,0,0,0,0
ALCINOPOLIS,500025,Cádmio,MS,14,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Cádmio,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ALECRIM,430030,Cádmio,RS,26,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0
ALEGRETE,430040,Cádmio,RS,233,27,205,1,0,0,0,0,0,0,0,1,0,0,0,0
ALEXANIA,520030,Cádmio,GO,19,8,4,5,2,0,2,0.18181818181818182,0,0,0,0,0,1,0,0
ALFENAS,310160,Cádmio,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,2,0
ALFREDO MARCONDES,350080,Cádmio,SP,25,1,5,19,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Cádmio,MG,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO WAGNER,420070,Cádmio,SC,18,0,0,16,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0
ALMADINA,290090,Cádmio,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Cádmio,TO,20,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
ALMENARA,310170,Cádmio,MG,9,1,0,0,8,0,8,1,0,1,0,0,0,0,0,0
