municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2029100,cnae_2033900,cnae_2071100,cnae_2422901,cnae_2449199,cnae_2539001,cnae_2539002,cnae_2599399,cnae_2660400,cnae_2722801,cnae_2722802,cnae_2910701,cnae_2920401,cnae_2945000,cnae_3313902,cnae_3831999
ABADIA DE GOIAS,520005,Chumbo,GO,29,5,4,9,11,0,11,0.4583333333333333,0,0,0,0,0,0,4,0,0,6,1,5,0,0,0,0,0,1,0,4
ABAETE,310020,Chumbo,MG,26,6,0,9,7,4,11,0.55,0.2,0,0,0,51,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
ABARE,290020,Chumbo,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
ABELARDO LUZ,420010,Chumbo,SC,19,0,1,14,4,0,4,0.21052631578947367,0,0,0,0,7,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
ACEGUA,430003,Chumbo,RS,46,4,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ACREUNA,520013,Chumbo,GO,23,12,7,2,2,0,2,0.18181818181818182,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0
ACUCENA,310050,Chumbo,MG,9,0,0,0,9,0,9,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Chumbo,SP,44,11,8,12,12,1,13,0.3939393939393939,0.030303030303030304,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0
ADELANDIA,520015,Chumbo,GO,10,2,2,1,5,0,5,0.625,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Chumbo,SP,19,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Chumbo,PR,36,1,28,7,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AFONSO CLAUDIO,320010,Chumbo,ES,12,0,0,10,1,1,2,0.16666666666666666,0.08333333333333333,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AGROLANDIA,420020,Chumbo,SC,16,0,2,10,4,0,4,0.25,0,0,0,0,0,0,0,0,0,137,4,0,0,0,0,0,0,0,0,0
AGUA BOA,310060,Chumbo,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AGUA CLARA,500020,Chumbo,MS,32,7,11,12,2,0,2,0.08,0,0,0,0,43,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0
AGUA COMPRIDA,310070,Chumbo,MG,8,2,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Chumbo,SC,28,4,2,19,3,0,3,0.125,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2
AGUA FRIA,290040,Chumbo,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AGUA FRIA DE GOIAS,520017,Chumbo,GO,12,2,5,3,2,0,2,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
