municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_600001,cnae_891600,cnae_1313800,cnae_1340502,cnae_2019399,cnae_2031200,cnae_2061400,cnae_2033900,cnae_2093200,cnae_2211100,cnae_2212900,cnae_2219600,cnae_2311700,cnae_2342701,cnae_2342702,cnae_2349401,cnae_2349499,cnae_2399199
ABADIA DE GOIAS,520005,Bário,GO,25,1,0,0,24,0,24,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
ABAETE,310020,Bário,MG,25,5,0,10,10,0,10,0.5,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,9,0,0,0
ABARE,290020,Bário,BA,10,10,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ABELARDO LUZ,420010,Bário,SC,27,0,1,2,24,0,24,0.8888888888888888,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0
ABREULANDIA,170025,Bário,TO,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACAJUTIBA,290030,Bário,BA,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACEGUA,430003,Bário,RS,46,7,0,0,39,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACREUNA,520013,Bário,GO,23,10,3,1,9,0,9,0.6923076923076923,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
ACUCENA,310050,Bário,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Bário,SP,44,10,9,11,14,0,14,0.4117647058823529,0,0,0,0,0,0,0,8,0,0,0,0,3,2,0,2,0,0,0
ADELANDIA,520015,Bário,GO,10,3,0,1,6,0,6,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ADOLFO,350020,Bário,SP,21,7,3,2,9,0,9,0.6428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
