municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_2019399,cnae_2073800,cnae_2092401,cnae_2092403,cnae_2093200,cnae_2094100,cnae_2110600,cnae_2121101,cnae_2122000,cnae_2449199,cnae_2452100,cnae_2539001,cnae_3831999,total_canes
ABADIA DE GOIAS,520005,Antimônio,GO,29,6,4,8,11,0,11,0.4782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
ABAETE,310020,Antimônio,MG,26,11,2,10,2,1,3,0.2,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
ABARE,290020,Antimônio,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
ABELARDO LUZ,420010,Antimônio,SC,19,0,1,15,3,0,3,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11
ACEGUA,430003,Antimônio,RS,34,2,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ACRELANDIA,120001,Antimônio,AC,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ACREUNA,520013,Antimônio,GO,23,11,5,4,2,1,3,0.25,0.08333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,35,0,36
ACUCENA,310050,Antimônio,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ADAMANTINA,350010,Antimônio,SP,43,18,8,15,2,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,17
ADELANDIA,520015,Antimônio,GO,10,1,2,6,0,1,1,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ADOLFO,350020,Antimônio,SP,21,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ADRIANOPOLIS,410020,Antimônio,PR,36,0,28,7,1,0,1,0.027777777777777776,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3
AFONSO CLAUDIO,320010,Antimônio,ES,12,0,0,10,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
AGROLANDIA,420020,Antimônio,SC,16,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137
AGUA BOA,310060,Antimônio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA CLARA,500020,Antimônio,MS,32,0,18,12,2,0,2,0.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,18
AGUA COMPRIDA,310070,Antimônio,MG,8,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AGUA DOCE,420040,Antimônio,SC,27,4,2,18,3,0,3,0.13043478260869565,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7
AGUA FRIA,290040,Antimônio,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4
AGUA FRIA DE GOIAS,520017,Antimônio,GO,11,2,3,1,5,0,5,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
AGUA LIMPA,520020,Antimônio,GO,21,4,3,8,6,0,6,0.35294117647058826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Antimônio,RS,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAI,350030,Antimônio,SP,16,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,52
AGUAS DA PRATA,350040,Antimônio,SP,81,12,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGUAS DE SAO PEDRO,350060,Antimônio,SP,20,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Antimônio,MG,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
AGUAS FRIAS,420055,Antimônio,SC,33,4,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGUAS LINDAS DE GOIAS,520025,Antimônio,GO,12,1,0,1,10,0,10,0.9090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28
AGUAS MORNAS,420060,Antimônio,SC,13,0,1,11,1,0,1,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
AGUAS VERMELHAS,310100,Antimônio,MG,5,1,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGUDO,430010,Antimônio,RS,22,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
AGUDOS,350070,Antimônio,SP,80,40,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,25,3,33
AGUDOS DO SUL,410030,Antimônio,PR,31,0,20,5,6,0,6,0.1935483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
AGUIA BRANCA,320013,Antimônio,ES,20,6,1,10,2,1,3,0.21428571428571427,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGUIARNOPOLIS,170030,Antimônio,TO,18,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Antimônio,BA,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AJURICABA,430020,Antimônio,RS,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
ALAMBARI,350075,Antimônio,SP,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ALCINOPOLIS,500025,Antimônio,MS,14,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
ALCOBACA,290080,Antimônio,BA,20,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
